wl (m),n,k
4.44E-06,1.655,8.84E-09
4.46E-06,1.654,8.88E-09
4.48E-06,1.653,9.28E-09
4.50E-06,1.652,9.32E-09
4.52E-06,1.651,9.36E-09
4.55E-06,1.65,9.40E-09
4.57E-06,1.649,9.45E-09
4.59E-06,1.647,9.86E-09
4.61E-06,1.646,1.03E-08
4.63E-06,1.645,1.03E-08
4.65E-06,1.644,1.04E-08
4.67E-06,1.643,1.04E-08
4.69E-06,1.642,1.08E-08
0.000004717,1.642,1.09E-08
4.74E-06,1.641,1.13E-08
4.76E-06,1.639,1.14E-08
4.78E-06,1.638,1.10E-08
4.81E-06,1.637,1.11E-08
4.83E-06,1.636,1.15E-08
4.85E-06,1.634,1.20E-08
0.000004878,1.633,1.20E-08
0.000004902,1.633,1.21E-08
4.93E-06,1.632,1.22E-08
4.95E-06,1.631,1.22E-08
4.98E-06,1.629,1.23E-08
0.000005,1.628,1.27E-08
5.03E-06,1.627,1.28E-08
5.05E-06,1.626,1.25E-08
5.08E-06,1.624,1.25E-08
0.000005102,1.623,1.30E-08
5.13E-06,1.621,1.31E-08
5.15E-06,1.62,1.31E-08
5.18E-06,1.619,1.28E-08
5.21E-06,1.617,1.24E-08
5.24E-06,1.616,1.29E-08
5.26E-06,1.614,1.30E-08
0.000005291,1.612,1.31E-08
5.32E-06,1.61,1.27E-08
5.35E-06,1.608,1.28E-08
5.38E-06,1.606,1.28E-08
5.41E-06,1.604,1.33E-08
5.43E-06,1.602,1.34E-08
5.46E-06,1.6,1.35E-08
5.49E-06,1.598,1.31E-08
5.52E-06,1.596,1.32E-08
5.56E-06,1.593,1.37E-08
5.59E-06,1.591,1.42E-08
0.000005618,1.589,1.43E-08
5.65E-06,1.587,1.39E-08
5.68E-06,1.584,1.36E-08
5.71E-06,1.582,1.41E-08
5.75E-06,1.579,1.42E-08
5.78E-06,1.576,1.47E-08
0.000005814,1.573,1.48E-08
0.000005848,1.571,1.49E-08
5.88E-06,1.568,1.50E-08
5.92E-06,1.565,1.55E-08
5.95E-06,1.562,1.61E-08
0.000005988,1.56,1.62E-08
6.02E-06,1.557,1.63E-08
6.06E-06,1.554,1.64E-08
6.10E-06,1.551,1.70E-08
0.000006135,1.548,1.76E-08
6.17E-06,1.544,1.77E-08
6.21E-06,1.542,1.78E-08
0.00000625,1.538,1.74E-08
6.29E-06,1.535,1.80E-08
6.33E-06,1.532,1.86E-08
6.37E-06,1.528,1.93E-08
6.41E-06,1.524,1.89E-08
6.45E-06,1.521,1.90E-08
6.49E-06,1.517,1.96E-08
6.54E-06,1.513,2.03E-08
6.58E-06,1.509,2.04E-08
6.62E-06,1.505,2.06E-08
6.67E-06,1.501,2.07E-08
6.71E-06,1.497,2.08E-08
6.76E-06,1.492,2.15E-08
6.80E-06,1.487,2.22E-08
6.85E-06,1.482,2.23E-08
6.90E-06,1.478,2.25E-08
6.94E-06,1.473,2.27E-08
0.000006993,1.467,2.34E-08
7.04E-06,1.462,2.47E-08
7.09E-06,1.457,2.54E-08
7.14E-06,1.452,2.56E-08
7.19E-06,1.447,2.52E-08
7.25E-06,1.441,2.59E-08
7.30E-06,1.435,2.67E-08
7.35E-06,1.428,2.75E-08
7.41E-06,1.422,2.77E-08
7.46E-06,1.416,2.79E-08
7.52E-06,1.409,2.81E-08
7.58E-06,1.402,2.89E-08
7.63E-06,1.395,2.92E-08
7.69E-06,1.388,2.94E-08
7.75E-06,1.38,2.90E-08
7.81E-06,1.371,2.80E-08
0.000007874,1.359,2.76E-08
7.94E-06,1.345,3.47E-08
0.000008,1.345,3.57E-08
8.06E-06,1.336,3.27E-08
8.13E-06,1.321,3.49E-08
8.20E-06,1.311,3.46E-08
8.26E-06,1.301,3.75E-08
8.33E-06,1.294,3.65E-08
8.40E-06,1.276,3.54E-08
8.47E-06,1.265,3.64E-08
0.000008547,1.243,3.94E-08
8.62E-06,1.236,4.66E-08
8.70E-06,1.228,4.64E-08
8.77E-06,1.218,4.33E-08
8.85E-06,1.197,4.30E-08
8.93E-06,1.173,4.48E-08
0.000009009,1.16,5.31E-08
9.09E-06,1.149,5.79E-08
9.17E-06,1.136,5.33E-08
9.26E-06,1.113,4.64E-08
9.35E-06,1.079,4.76E-08
0.000009434,1.05,5.56E-08
9.52E-06,1.032,6.75E-08
9.62E-06,1.014,6.96E-08
9.71E-06,0.99,6.80E-08
9.80E-06,0.961,6.94E-08
0.000009901,0.927,6.93E-08
0.00001,0.89,7.48E-08
0.000010101,0.854,7.80E-08
1.02E-05,0.813,8.36E-08
1.03E-05,0.768,8.86E-08
1.04E-05,0.717,9.28E-08
1.05E-05,0.658,1.01E-07
1.06E-05,0.592,1.10E-07
1.08E-05,0.514,1.19E-07
1.09E-05,0.401,1.44E-07
0.000010989,0.279,2.09E-07
1.11E-05,0.182,3.14E-07
0.000011236,0.124,4.33E-07
1.14E-05,0.098,5.50E-07
1.15E-05,0.087,6.58E-07
1.16E-05,0.083,7.61E-07
1.18E-05,0.081,8.57E-07
1.19E-05,0.079,9.49E-07
1.20E-05,0.078,1.04E-06
1.22E-05,0.078,1.14E-06
1.23E-05,0.079,1.24E-06
